Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$4.22,0.00,0.00%,11664645.00,United States,,16,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.1351,0.0001,0.074%,18538612.00,Canada,2015,40266,,
ACU,Acme United Corporation. Common Stock,$47.8468,1.3968,3.007%,171534127.00,United States,1988,883,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$11.90,-0.7761,-6.123%,171062500.00,,2022,573,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$29.49,2.68,9.996%,75094545.00,United States,1980,7789,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.03,0.015,0.299%,540033375.00,United States,,3003,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$12.39,0.50,4.205%,460407444.00,United States,,2560,Health Care,Biotechnology: Pharmaceutical Preparations
AGE,AgeX Therapeutics Inc. Common Stock,$0.371,0.00,0.00%,14079918.00,,2018,23857,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.4004,-0.0006,-0.15%,19556475.00,United States,1997,41995,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$2.80,0.28,11.111%,8999130.00,United States,2014,5513,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$4.4294,0.00,0.00%,14630508.00,United States,,63,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$5.99,0.00,0.00%,332024802.00,,,134,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.80,0.09,5.263%,5141477.00,China,,5063,Real Estate,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.84,-0.46,-20.00%,1530919.00,United States,2022,70007,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.6799,-0.0401,-1.474%,16883370.00,United States,1988,1964,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.6899,0.0399,0.706%,66270812.00,Canada,2000,3314,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$1.90,0.13,7.345%,45286293.00,United States,2022,9076,Health Care,Medical/Dental Instruments
ARMN,Aris Mining Corporation Common Shares,$2.817,0.047,1.697%,388275392.00,,2023,9503,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.98,0.10,2.577%,143863365.00,United States,,3013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.4634,0.0115,2.545%,58298569.00,Canada,,103195,,
ASXC,Asensus Surgical Inc. Common Stock,$0.3001,-0.011,-3.536%,79321456.00,United States,,216575,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$1.9089,-0.0611,-3.102%,20021734.00,,2024,19676,,
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.23,0.00,0.00%,0.00,,2022,17,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.49,0.18,2.166%,232740114.00,United States,,92440,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.4263,-0.0677,-13.704%,1203189.00,United States,1997,3348188,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$22.50,1.1233,5.255%,,United States,,1033,,
AUMN,Golden Minerals Company Common Stock,$0.4366,-0.0942,-17.747%,6149371.00,United States,,479438,Basic Materials,Precious Metals
